Group,Lower Age,Upper Age,Nutrient No.,Value,Upper Limit
Females,71,120,306,4700,
Pregnancy,14,18,306,4700,
Pregnancy,19,30,306,4700,
Pregnancy,31,50,306,4700,
Lactation,14,18,306,5100,
Lactation,19,30,306,5100,
Lactation,31,50,306,5100,
Infants,0,0.5,307,120,
Infants,0.5,1,307,370,
Children,1,3,307,1000,1500
Children,4,8,307,1200,1900
Males,9,13,307,1500,2200
Males,14,18,307,1500,2300
Males,19,30,307,1500,2300
Males,31,50,307,1500,2300
Males,51,70,307,1300,2300
Males,71,120,307,1200,2300
Females,9,13,307,1500,2200
Females,14,18,307,1500,2300
Females,19,30,307,1500,2300
Females,31,50,307,1500,2300
Females,51,70,307,1300,2300
Females,71,120,307,1200,2300
Pregnancy,14,18,307,1500,2300
Pregnancy,19,30,307,1500,2300
Pregnancy,31,50,307,1500,2300
Lactation,14,18,307,1500,2300
Lactation,19,30,307,1500,2300
Lactation,31,50,307,1500,2300
Infants,0,0.5,255,700,
Infants,0.5,1,255,800,
Children,1,3,255,1300,
Children,4,8,255,1700,
Males,9,13,255,2400,
Males,14,18,255,3300,
Males,19,30,255,3700,
Males,31,50,255,3700,
Males,51,70,255,3700,
Males,71,120,255,3700,
Females,9,13,255,2100,
Females,14,18,255,2300,
Females,19,30,255,2700,
Females,31,50,255,2700,
Females,51,70,255,2700,
Females,71,120,255,2700,
Pregnancy,14,18,255,3000,
Pregnancy,19,30,255,3000,
Pregnancy,31,50,255,3000,
Lactation,14,18,255,3800,
Lactation,19,30,255,3800,
Lactation,31,50,255,3800,
Infants,0,0.5,291,,
Infants,0.5,1,291,,
Children,1,3,291,19,
Children,4,8,291,25,
Males,9,13,291,31,
Males,14,18,291,38,
Males,19,30,291,38,
Males,31,50,291,38,
Males,51,70,291,30,
Males,71,120,291,30,
Females,9,13,291,26,
Females,14,18,291,26,
Females,19,30,291,25,
Females,31,50,291,25,
Females,51,70,291,21,
Females,71,120,291,21,
Pregnancy,14,18,291,28,
Pregnancy,19,30,291,28,
Pregnancy,31,50,291,28,
Lactation,14,18,291,29,
Lactation,19,30,291,29,
Lactation,31,50,291,29,
Infants,0,0.5,675,4.4,
Infants,0.5,1,675,4.6,
Children,1,3,675,7,
Children,4,8,675,10,
Males,9,13,675,12,
Males,14,18,675,16,
Males,19,30,675,17,
Males,31,50,675,17,
Males,51,70,675,14,
Males,71,120,675,14,
Females,9,13,675,10,
Females,14,18,675,11,
Females,19,30,675,12,
Females,31,50,675,12,
Females,51,70,675,11,
Females,71,120,675,11,
Pregnancy,14,18,675,13,
Pregnancy,19,30,675,13,
Pregnancy,31,50,675,13,
Lactation,14,18,675,13,
Lactation,19,30,675,13,
Lactation,31,50,675,13,
Infants,0,0.5,851,0.5,
Infants,0.5,1,851,0.5,
Children,1,3,851,0.7,
Children,4,8,851,0.9,
Males,9,13,851,1.2,
Males,14,18,851,1.6,
Males,19,30,851,1.6,
Males,31,50,851,1.6,
Males,51,70,851,1.6,
Males,71,120,851,1.6,
Females,9,13,851,1,
Females,14,18,851,1.1,
Females,19,30,851,1.1,
Females,31,50,851,1.1,
Females,51,70,851,1.1,
Females,71,120,851,1.1,
Pregnancy,14,18,851,1.4,
Pregnancy,19,30,851,1.4,
Pregnancy,31,50,851,1.4,
Lactation,14,18,851,1.3,
Lactation,19,30,851,1.3,
Lactation,31,50,851,1.3,
Infants,0,0.5,315,0.003,
Infants,0.5,1,315,0.6,
Children,1,3,315,1.2,
Children,4,8,315,1.5,
Males,9,13,315,1.9,
Males,14,18,315,2.2,
Males,19,30,315,2.3,
Males,31,50,315,2.3,
Males,51,70,315,2.3,
Males,71,120,315,2.3,
Females,9,13,315,1.6,
Females,14,18,315,1.6,
Females,19,30,315,1.8,
Females,31,50,315,1.8,
Females,51,70,315,1.8,
Females,71,120,315,1.8,
Pregnancy,14,18,315,2,
Pregnancy,19,30,315,2,
Pregnancy,31,50,315,2,
Lactation,14,18,315,2.6,
Lactation,19,30,315,2.6,
Lactation,31,50,315,2.6,
